Usertext,Categoria,Descricao_Problema,Solucoes
"Carro liga mas não pega",bateria,"carro liga","Substituir bateria"
"Barulho estranho ao frear",pastilhas freio,"ruído frear","Verificar pastilhas de freio"
"Motor superaquecido após alguns minutos",radiador,"motor superaquecido após minutos","Verificar o radiador"
"Carro perde potência em subidas",filtro combustível,"perda potência subidas","Trocar filtro de combustível"
"Vibração no volante ao dirigir",balanceamento rodas,"vibração volante","Balancear rodas"
"Direção está dura",coluna direção,"direção dura","Verificar coluna de direção"
"Fumaça saindo pelo escapamento",sistema escape,"fumaça saindo escapamento","Checar sistema de escape"
"Cheiro de gasolina dentro do carro",sistema combustível,"cheiro gasolina dentro carro","Verificar sistema de combustível"
"Luz de óleo acesa no painel",óleo motor,"luz óleo acesa","Verificar nível de óleo"
"Freios ineficazes",sistema freios,"freios ineficazes","Checar sistema de freios"
"Carro engasga ao acelerar",sistema injeção,"carro engasga acelerar","Checar sistema de injeção"
"Baixo rendimento de combustível",filtro ar,"baixo rendimento combustível","Trocar filtro de ar"
"Dificuldade em engatar marchas",sistema escapamento,"dificuldade engatar marchas","Verificar sistema de escapamento"
"Barulho ao acelerar",sistema ignição,"barulho acelerar","Verificar sistema de ignição"
"Luz do motor acesa",suspensão,"luz motor acesa","Verificar suspensão"
"Acelerador não responde",motor,"acelerador responde","Verificar o motor"
"Dificuldade na suspensão",alinhamento rodas,"dificuldade suspensão","Verificar alinhamento das rodas"
"Ruído no motor",sistema injeção,"ruído motor","Checar sistema de injeção"
"Carro puxa para o lado",sistema suspensão,"carro puxa lado","Verificar sistema de suspensão"
"Desempenho instável",ar condicionado,"desempenho irregular motor","Verificar ar condicionado"
"Carro treme ao acelerar",painel instrumentos,"carro treme acelerar","Verificar painel de instrumentos"
"Problemas no ar condicionado",sistema aceleração,"problemas ar condicionado","Verificar sistema de aceleração"
"Luzes piscando no painel",brisa,"luzes piscando painel","Checar sistema de brisa"
"Carro acelera sozinho",sistema lubrificação,"carro acelera","Verificar sistema de lubrificação"
"Rachaduras no vidro",transmissão,"rachaduras brisa","Verificar transmissão"
"Vazamentos de óleo",sistema combustível,"vazamentos óleo","Checar sistema de combustível"
"Problemas na transmissão",sistema arranque,"problemas transmissão","Verificar sistema de arranque"
"Aumento no consumo de combustível",sistema escape,"aumento consumo combustível","Checar sistema de escape"
"Barulho ao dar partida",bomba combustível,"barulho dar partida","Verificar bomba de combustível"
"Escapamento barulhento",sistema suspensão,"escapamento barulhento","Checar sistema de suspensão"
"Problemas na bomba de combustível",sistema injeção,"problemas bomba combustível","Verificar sistema de injeção"
"Carro derrapa em curvas",bateria,"carro derrapa curvas","Verificar a bateria"
"Falha na injeção",sistema arrefecimento,"falha injeção","Verificar sistema de arrefecimento"
"Luz da bateria acesa",sistema freios,"luz bateria acesa","Verificar sistema de freios"
"Vazamento de refrigerante",acelerador,"vazamento refrigerante","Checar o acelerador"
"Carro não responde ao freio",embreagem,"carro responde freio","Verificar a embreagem"
"Acelerador travado",suspensão,"acelerador travado","Verificar suspensão"
"Problemas na embreagem",sistema direção,"problemas embreagem","Verificar sistema de direção"
"Suspensão danificada",sistema ignição,"suspensão danificada","Verificar sistema de ignição"
"Carro puxa ao acelerar",óleo motor,"carro puxa acelerar","Verificar óleo motor"
"Ruído ao dirigir",sistema marcha lenta,"ruído batida dirigir","Verificar sistema de marcha lenta"
"Falha no sistema de ignição",sistema suspensão,"falha sistema ignição","Verificar sistema de suspensão"
"Aquecimento do óleo",alternador,"aquecimento óleo","Verificar o alternador"
"Marcha lenta instável",sistema iluminação,"marcha lenta instável","Verificar sistema de iluminação"
"Tremores ao parar",sistema direção,"tremores parar","Verificar sistema de direção"
"Problemas no alternador",sistema elétrico,"problemas alternador","Verificar sistema elétrico"
"Luzes de freio acesas",sistema escape,"luzes freio acendem","Checar sistema de escape"
"Estalos ao virar",sistema controle,"estalos virar","Verificar sistema de controle"
"Problemas elétricos",pedal freio,"problemas elétricos","Verificar pedal de freio"
"Carro desliga",catalisador,"carro desliga","Verificar catalisador"
"Barulho metálico ao dirigir",eixo,"barulho metálico dirigir","Checar eixo"
"Carro derrapando na chuva",sistema potência,"carro derrapando chuva","Verificar sistema de potência"
"Problemas com a válvula",sistema vibração,"problemas válvula","Checar sistema de vibração"
"Acelerador responde lentamente",sistema desaceleração,"acelerador responde","Verificar desaceleração"
"Fumaça azul pelo escapamento",sistema ab,"fumaça azul escapamento","Verificar sistema AB"
"Problemas com o catalisador",sistema escape,"problemas catalisador","Verificar sistema de escape"
"Ruído no eixo",caixa direção,"ruído eixo","Checar caixa de direção"
"Perda de potência em subidas",rolamento,"perda potência subidas","Verificar rolamento"
"Carro vibra ao dirigir",sistema aceleração,"carro vibra dirigir","Checar sistema de aceleração"
"Barulho ao desacelerar",embreagem,"barulho desacelerar","Verificar embreagem"
"Luz do airbag acesa",airbag,"luz airbag acesa","Verificar airbag"
"Problemas no sistema de exaustão",comando válvulas,"problemas sistema exaustão","Checar comando de válvulas"
"Carro engasga ao acelerar",sistema ignição,"carro engasga acelerar","Verificar sistema de ignição"
"Problemas na caixa de direção",sistema escape,"problemas caixa direção","Checar sistema de escape"
"Ruído no rolamento",sistema refrigeração,"ruído rolamento","Verificar sistema de refrigeração"
"Desempenho irregular",sistema velocidade,"desempenho irregular","Verificar sistema de velocidade"
"Tremores ao soltar a embreagem",sistema alerta,"tremores soltar embreagem","Verificar sistema de alerta"
"Luz do airbag acesa",sistema aceleração,"luz airbag acesa","Verificar sistema de aceleração"
"Problemas no comando de válvulas",filtro ar,"problemas comando válvulas","Verificar filtro de ar"
"Dificuldade ao arrancar",sistema ignição,"dificuldade arrancar","Verificar sistema de ignição"
"Cheiro queimado",sistema freios,"cheiro queimado","Verificar sistema de freios"
"Desempenho irregular na aceleração",sistema ignição,"desempenho aceleração irregular","Checar sistema de ignição"
"Problemas no ar condicionado",compressor ar condicionado,"problemas sistema ar condicionado","Verificar compressor de ar condicionado"
"Vazamento de combustível",linha combustível,"vazamento combustível","Checar linha de combustível"
"Barulho ao girar volante",caixa direção,"barulho rotação girar volante","Verificar caixa de direção"
"Carro treme ao dirigir alta velocidade",pneus,"carro treme dirigir alta velocidade","Verificar pneus"
"Luz de manutenção acesa",sistema escapamento,"luz manutenção acesa","Checar sistema de escapamento"
"Falha no sistema de arrefecimento",termostato,"falha sistema arrefecimento","Verificar termostato"
"Carro puxa para o lado ao frear",freios,"carro puxa lado durante frenagem","Verificar freios"
"Fumaça preta pelo escapamento",injetores,"fumaça preta escapamento","Checar injetores"
"Problemas na direção hidráulica",bomba direção hidráulica,"problemas direção hidráulica","Verificar bomba direção hidráulica"
"Carro mantém marcha engatada",embreagem,"carro retém marcha","Verificar embreagem"
"Ruído constante ao acelerar",polias,"ruído constante acelerar","Checar polias"
